Tweet user,score
Forbes,60.776010530213135
Weekendstravel,28.35805456787407
RT_com,17.46241639763853
THR,16.349277843517946
DanBuk4,15.194725366817107
MonkeyAnomalous,13.937066351451053
IngrahamAngle,13.014415026893886
ExpansionMx,12.573637857313559
quijoote,12.566574558383971
Mediapart,10.299526605819716
CoinDesk,10.196634460730902
zeitonline,9.416281202730815
SpirosMargaris,9.29613932110012
folkloretaylors,9.273490146047907
derspiegel,9.268830605981021
Mougdaintoud,8.92195618681858
PeterSchiff,8.555229645290973
EvanKirstel,7.878929709612159
fattoquotidiano,7.444355462852205
lobs,7.305255662347052
UniNoticias,7.266909770499487
SuzeOrmanShow,7.162091771273306
GmeImmortan,7.151891154735118
elerianm,7.139057092646589
faznet,7.081448205206765
RFI,7.026196087593591
GlenGilmore,7.015596112566639
expansioncom,6.882064429616843
Cointelegraph,6.851662155905705
DineshDSouza,6.70896649445286
aantonop,6.392386691635234
SRuhle,6.291157796165876
NPRextra,6.203819112875485
MVSNoticias,5.829247624661876
sole24ore,5.820400042217349
Jerusalem_Post,5.802487864030768
fckthesuits,5.7823599958345175
ShellyKramer,5.613900601076713
mehdirhasan,5.535131789800582
CoinMarketCap,5.447597728441766
CoachHeavyHands,5.326412727271876
MariaBartiromo,5.3158589959725715
conkers3,5.307549054924821
LesMiz2020,5.269478125750002
DaveRamsey,5.237443354052131
ZDF,4.928467188678088
bsindia,4.832354710264114
CreateStunning,4.642430201267625
ScottMonty,4.590485005607035
CWRoehl,4.576711979159777
JeffHarryPlays,4.538745522802058
SputnikInt,4.385783216579693
RickeySmiley,4.374187365538091
BBCNewsnight,4.352131290563313
rwang0,4.286676292093184
paoloigna1,4.1190117573232845
CryptoBcl,4.089412385285717
ambermac,4.039827039626203
christabbshow,4.029729572374079
TheYoungTurks,3.999274629447159
AlArabiya_Bn,3.98977285338869
octoppus,3.903589079806733
moneycontrolcom,3.8338576124340187
ProSyn,3.7707711708388816
theage,3.721289807315707
Schuldensuehner,3.718444063247728
semrush,3.706801216440207
RobRe62,3.6619251981628187
IBDinvestors,3.5354232407765944
Solid_Snail,3.4921130828397775
AniceLajnef,3.425321452432856
Maria_Aluko,3.3885700860655925
bbc5live,3.335866649659878
NZZ,3.3176272196499528
yaparateoficial,3.3011051558216993
JimHarris,3.2840287485296398
russian_market,3.2225073508646482
warkentin,3.1666453538403214
opera,3.1275986556482858
threadreaderapp,3.0652991634403075
EpochTimes,3.001663699302936
METROFMSA,2.9983351596954915
t3n,2.9438882522691734
PrimerImpacto,2.9424485752026697
RealAjenjo,2.874909138222898
Varneyco,2.8457189657981776
Xbond49,2.8225462665192227
FlashTweet,2.8203743714360336
nrc,2.7982910245723627
Chieki,2.797585350706278
TheNationalNews,2.761379198013942
InterviewMag,2.729677438771649
forbes_india,2.708183781155218
bob03929586,2.7041967744756668
gmerocketship,2.703943655687448
wiwo,2.685175710732868
laurashin,2.681663022008766
Telerama,2.6783604469422477
blesamerica,2.6620533848962245
blesamerika,2.6603507793907784
