Topic 0 words,Date
shop,2020-12-27
shop,2020-12-28
shop,2020-12-29
shop,2020-12-30
shop,2020-12-31
shop,2021-01-01
shop,2021-01-02
gamestop,2021-01-03
gamestop,2021-01-04
shop,2021-01-05
shop,2021-01-06
gamestop,2021-01-07
gamestop,2021-01-08
gt,2021-01-09
gt,2021-01-10
gt,2021-01-11
ps,2021-01-12
gamestop,2021-01-13
gamestop,2021-01-14
gamestop,2021-01-15
gamestop,2021-01-16
gamestop,2021-01-17
gamestop,2021-01-18
gamestop,2021-01-19
gamestop,2021-01-20
gamestop,2021-01-21
gamestop,2021-01-22
gamestop,2021-01-23
gme,2021-01-24
gme,2021-01-25
gme,2021-01-26
gme,2021-01-27
gme,2021-01-28
gme,2021-01-29
gme,2021-01-30
gme,2021-01-31
gme,2021-02-01
gme,2021-02-02
gamestop,2021-02-03
gamestop,2021-02-04
gme,2021-02-05
gamestop,2021-02-06
gamestop,2021-02-07
gamestop,2021-02-08
gamestop,2021-02-09
gamestop,2021-02-10
gamestop,2021-02-11
gamestop,2021-02-12
gamestop,2021-02-13
gamestop,2021-02-14
gamestop,2021-02-15
gamestop,2021-02-16
gamestop,2021-02-17
gme,2021-02-18
gamestop,2021-02-19
gamestop,2021-02-20
gamestop,2021-02-21
gamestop,2021-02-22
gamestop,2021-02-23
gme,2021-02-24
gme,2021-02-25
gamestop,2021-02-26
